status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
>= 2900 € / Gehalt seit 1 Jahr,10,existing credits paid back duly till now,car (new),20190.91638843867,< 580 €,... < 1 year,1,male : single,guarantor,1,building society savings agreement/life insurance,37,none,own,1,unskilled - resident,2,no,yes,1
kein Konto,15,critical account/other credits existing,domestic appliances,7459.748546652828,< 580 €,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,43,none,own,1,unskilled - resident,1,no,yes,1
580 € - 2900 €,13,critical account/other credits existing,domestic appliances,4509.594392150647,< 580 €,... < 1 year,4,male : single,guarantor,4,real estate,23,none,own,2,skilled employee/official,1,no,yes,1
580 € - 2900 €,24,existing credits paid back duly till now,domestic appliances,19214.34889535389,2800 € - 5000 €,unemployed,1,female : divorced/separated/married,none,4,unknown/no property,23,none,rent,1,unemployed/unskilled - non-resident,1,no,yes,1
kein Konto,6,delay in paying off in the past,others,8911.817489250088,580 € - 2900 €,1 <= ... < 4 years,1,male : single,none,2,real estate,34,none,own,2,unskilled - resident,1,no,yes,1
580 € - 2900 €,9,critical account/other credits existing,retraining,5808.275770389042,>= 5000 €,... >= 7 years,4,male : single,none,3,unknown/no property,32,none,for free,2,skilled employee/official,2,no,yes,0
kein Konto,9,existing credits paid back duly till now,repairs,6319.567651585261,< 580 €,... < 1 year,1,female : divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,9,existing credits paid back duly till now,radio/television,4903.289140671735,< 580 €,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,car or other,29,none,own,1,skilled employee/official,1,no,no,0
kein Konto,18,critical account/other credits existing,car (used),16509.614843825897,unbekannt,unemployed,2,male : single,none,4,unknown/no property,38,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
< 580 €,12,no credits taken/all credits paid back duly,domestic appliances,31694.983715353585,< 580 €,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/life insurance,28,none,rent,2,skilled employee/official,1,yes,yes,0
kein Konto,10,existing credits paid back duly till now,retraining,3717.0919762965086,2800 € - 5000 €,... >= 7 years,4,male : single,none,4,unknown/no property,46,none,for free,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,24,existing credits paid back duly till now,car (new),6370.696839704882,< 580 €,... < 1 year,4,male : single,none,2,real estate,23,stores,own,1,unskilled - resident,1,no,yes,0
kein Konto,12,critical account/other credits existing,domestic appliances,11918.213750683854,unbekannt,... >= 7 years,1,male : single,co-applicant,4,real estate,49,none,own,1,skilled employee/official,1,yes,yes,1
kein Konto,36,delay in paying off in the past,domestic appliances,22818.956657787232,< 580 €,1 <= ... < 4 years,4,male : single,none,2,car or other,26,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,0
kein Konto,12,existing credits paid back duly till now,domestic appliances,3967.6249980826556,< 580 €,1 <= ... < 4 years,4,male : married/widowed,none,2,real estate,28,none,own,1,skilled employee/official,1,no,yes,1
< 580 €,30,existing credits paid back duly till now,radio/television,12301.682661581017,< 580 €,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee/official,1,no,yes,0
580 € - 2900 €,18,existing credits paid back duly till now,retraining,6334.906408021147,unbekannt,1 <= ... < 4 years,4,male : single,none,4,unknown/no property,61,none,for free,1,skilled employee/official,1,no,yes,1
>= 2900 € / Gehalt seit 1 Jahr,12,existing credits paid back duly till now,domestic appliances,17378.811041859466,unbekannt,... >= 7 years,2,male : single,none,3,car or other,37,none,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,1
>= 2900 € / Gehalt seit 1 Jahr,12,delay in paying off in the past,car (new),11488.72857047903,< 580 €,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,car or other,36,stores,own,2,skilled employee/official,1,yes,yes,1
kein Konto,6,existing credits paid back duly till now,radio/television,9029.414621925218,< 580 €,1 <= ... < 4 years,1,male : married/widowed,none,2,building society savings agreement/life insurance,21,none,rent,1,skilled employee/official,1,no,yes,1
< 580 €,18,existing credits paid back duly till now,radio/television,12644.248221982485,< 580 €,unemployed,4,male : single,none,1,car or other,25,none,own,1,unemployed/unskilled - non-resident,1,no,yes,0
kein Konto,12,existing credits paid back duly till now,others,7884.12080804569,< 580 €,4 <= ... < 7 years,2,male : single,none,4,car or other,36,none,own,1,skilled employee/official,1,yes,yes,1
kein Konto,18,critical account/other credits existing,car (used),19684.737426054413,< 580 €,4 <= ... < 7 years,3,male : single,none,1,car or other,27,none,own,2,skilled employee/official,1,no,yes,1
< 580 €,18,existing credits paid back duly till now,radio/television,18662.153663661975,< 580 €,... < 1 year,1,female : divorced/separated/married,none,4,car or other,22,none,rent,1,skilled employee/official,1,no,yes,1
< 580 €,36,existing credits paid back duly till now,radio/television,17619.11822602169,< 580 €,... >= 7 years,4,male : single,none,2,car or other,42,none,own,1,skilled employee/official,2,no,yes,0
580 € - 2900 €,18,existing credits paid back duly till now,radio/television,15343.869354698518,< 580 €,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,real estate,40,none,rent,1,skilled employee/official,1,no,yes,1
kein Konto,36,existing credits paid back duly till now,car (new),15742.677022031567,unbekannt,1 <= ... < 4 years,4,male : single,none,4,real estate,36,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,18,critical account/other credits existing,domestic appliances,31035.417188610463,< 580 €,... >= 7 years,3,male : single,none,4,car or other,33,none,own,2,skilled employee/official,1,yes,yes,1
kein Konto,10,critical account/other credits existing,radio/television,10972.323770470848,< 580 €,... < 1 year,1,female : divorced/separated/married,none,3,real estate,23,none,rent,2,skilled employee/official,1,no,yes,1
kein Konto,60,critical account/other credits existing,car (new),70333.31117735182,unbekannt,... >= 7 years,2,male : single,none,4,unknown/no property,63,bank,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
580 € - 2900 €,60,all credits at this bank paid back duly,furniture/equipment,75579.16587842502,580 € - 2900 €,... >= 7 years,3,female : divorced/separated/married,none,4,unknown/no property,60,bank,for free,2,management/self-employed/highly qualified employee/officer,1,yes,yes,0
< 580 €,48,all credits at this bank paid back duly,others,39292.78106992939,< 580 €,4 <= ... < 7 years,2,female : divorced/separated/married,guarantor,4,car or other,37,none,rent,1,skilled employee/official,1,no,yes,0
kein Konto,18,delay in paying off in the past,domestic appliances,11861.97164375227,< 580 €,unemployed,2,male : married/widowed,none,3,real estate,34,none,own,2,skilled employee/official,1,no,yes,1
kein Konto,7,delay in paying off in the past,domestic appliances,4325.529314920008,unbekannt,... >= 7 years,3,male : single,none,4,unknown/no property,36,none,for free,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,36,existing credits paid back duly till now,car (new),73206.77154967457,< 580 €,... >= 7 years,4,male : single,none,2,unknown/no property,57,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
kein Konto,6,critical account/other credits existing,car (new),1850.8766099303111,580 € - 2900 €,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,52,none,own,2,unskilled - resident,1,no,yes,1
< 580 €,20,existing credits paid back duly till now,radio/television,11309.776412060353,unbekannt,4 <= ... < 7 years,4,male : single,none,4,car or other,39,none,own,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,18,existing credits paid back duly till now,car (used),66345.23450402131,< 580 €,unemployed,3,female : divorced/separated/married,none,4,unknown/no property,38,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
kein Konto,22,existing credits paid back duly till now,car (new),6559.874835747483,unbekannt,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,25,none,rent,1,skilled employee/official,1,no,yes,1
>= 2900 € / Gehalt seit 1 Jahr,12,existing credits paid back duly till now,car (new),6800.1820199097065,< 580 €,... < 1 year,4,male : single,none,1,real estate,26,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,30,delay in paying off in the past,others,21842.389164702454,580 € - 2900 €,1 <= ... < 4 years,2,male : single,none,2,building society savings agreement/life insurance,26,none,own,2,unskilled - resident,1,no,yes,1
kein Konto,18,critical account/other credits existing,domestic appliances,11442.71230117137,< 580 €,1 <= ... < 4 years,2,female : divorced/separated/married,none,1,car or other,25,none,own,2,skilled employee/official,1,no,yes,1
kein Konto,18,existing credits paid back duly till now,domestic appliances,5757.14658226942,unbekannt,... < 1 year,4,female : divorced/separated/married,none,2,real estate,21,none,rent,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,18,critical account/other credits existing,radio/television,37702.663319409156,< 580 €,unemployed,4,male : single,none,4,building society savings agreement/life insurance,40,stores,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
580 € - 2900 €,15,critical account/other credits existing,others,11892.649156624044,2800 € - 5000 €,1 <= ... < 4 years,2,male : single,none,4,car or other,27,bank,own,1,skilled employee/official,1,no,yes,1
kein Konto,9,existing credits paid back duly till now,others,7408.619358533206,< 580 €,4 <= ... < 7 years,3,female : divorced/separated/married,none,2,car or other,27,none,own,2,skilled employee/official,1,no,yes,1
kein Konto,18,existing credits paid back duly till now,car (new),9305.512237771178,< 580 €,1 <= ... < 4 years,2,male : married/widowed,none,2,building society savings agreement/life insurance,30,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
580 € - 2900 €,12,existing credits paid back duly till now,radio/television,5025.999192158828,>= 5000 €,... < 1 year,1,female : divorced/separated/married,none,4,real estate,19,none,rent,1,unskilled - resident,1,no,yes,1
< 580 €,36,existing credits paid back duly till now,car (new),16611.87322006514,< 580 €,4 <= ... < 7 years,2,male : single,none,4,unknown/no property,39,bank,for free,1,management/self-employed/highly qualified employee/officer,2,yes,yes,1
< 580 €,6,critical account/other credits existing,domestic appliances,10005.982115009996,< 580 €,4 <= ... < 7 years,1,female : divorced/separated/married,none,4,car or other,31,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,9,critical account/other credits existing,radio/television,12301.682661581017,< 580 €,unemployed,2,male : single,none,3,car or other,31,none,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,1
580 € - 2900 €,39,delay in paying off in the past,retraining,60127.925228675296,580 € - 2900 €,4 <= ... < 7 years,2,male : single,none,3,unknown/no property,32,none,rent,1,skilled employee/official,1,yes,yes,1
< 580 €,12,existing credits paid back duly till now,radio/television,13181.104697238514,< 580 €,unemployed,3,female : divorced/separated/married,none,4,unknown/no property,55,none,for free,1,management/self-employed/highly qualified employee/officer,1,no,yes,1
< 580 €,36,critical account/other credits existing,radio/television,12005.13337048721,< 580 €,1 <= ... < 4 years,3,male : married/widowed,none,2,building society savings agreement/life insurance,46,none,own,2,skilled employee/official,1,yes,yes,1
580 € - 2900 €,12,existing credits paid back duly till now,car (new),6253.099707029752,< 580 €,... >= 7 years,1,male : divorced/separated,none,1,real estate,46,none,rent,2,skilled employee/official,1,no,yes,0
kein Konto,24,critical account/other credits existing,domestic appliances,7751.184918934672,>= 5000 €,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,real estate,43,none,own,2,unskilled - resident,1,no,yes,1
